"curation_id","original_fmt_id","original_fmt_role","curated_fmt_role","curated_fmt_id","curated_fmt_id_source","curated_fmt_role_source"
"AsnicarF_2021:SAMEA7045165",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045166",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045167",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045169",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045170",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045171",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045172",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045173",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045174",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045175",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045176",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045177",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045178",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045179",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045180",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045181",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045182",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045183",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045184",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045185",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045186",NA,NA,NA,NA,NA,NA
"AsnicarF_2021:SAMEA7045187",NA,NA,NA,NA,NA,NA
