"curation_id","curated_body_site","curated_body_site_ontology_term_id","curated_body_subsite","curated_body_subsite_ontology_term_id","curated_body_subsite_source"
"AsnicarF_2021:SAMEA7045028","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045029","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045030","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045031","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045032","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045033","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045034","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045035","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045036","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045037","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045038","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045039","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045040","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045041","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045042","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045043","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045044","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045045","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045046","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045047","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045048","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045049","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045050","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045051","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045052","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045053","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045054","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045055","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045056","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045057","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045058","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045059","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045060","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045061","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045062","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045063","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045064","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045065","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045066","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045067","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045068","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045069","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045070","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045071","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045072","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045073","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045074","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045075","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045076","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045077","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045078","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045079","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045080","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045081","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045082","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045083","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045084","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045085","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045086","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045087","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045088","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045089","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045090","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045091","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045092","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045093","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045094","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045095","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045096","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045097","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045098","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045099","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045100","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045101","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045102","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045103","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045104","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045105","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045106","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045107","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045108","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045109","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045110","feces","UBERON:0001988",NA,NA,NA
"AsnicarF_2021:SAMEA7045111","feces","UBERON:0001988",NA,NA,NA
